"CODDEPTO","DEPARTAMENTO","CODMPIO","MUNICIPIO","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"19","CAUCA","19533","PIAMONTE","899.15","818","651","281","517","594","669","523","165","131","253","516","461","602","1166.89","1458.49","1780.44","1997.22","1905.07","867.1","1550.09","2771.18","2932.89","2836.32"
"19","CAUCA","19548","PIENDAMÓ",,,,,,,,,,,,,,,,,,,,,"8.58","12.49","58.2","63.31"
"19","CAUCA","19622","ROSAS",,,,,,,,,,,,,,,,,"2.78","3.89",,,"10.92","12.82","52.07","132.13"
"19","CAUCA","19701","SANTA ROSA",,"3","0.36",,"229","135",,"16","12",,,,,,,,,,"54.85",,,"68.66","64.27","45.82"
"19","CAUCA","19698","SANTANDER DE QUILICHAO",,,,,,,,,,,,,,,,,,,,"5.46","356.05","166.01","157.42","312.79"
"19","CAUCA","19760","SOTARÁ (Paispamba)","24",,,,,,,,,,,,,,,,,,,,,,,
"19","CAUCA","19780","SUÁREZ","2",,,,,,"32","32","4","1",,,"1","49","139.65","170.45","267.19","383.53","501.67","668.49","804.74","923.52","1580.89","2790.82"
"19","CAUCA","19785","SUCRE",,,,,,,,,,,,,"5","17","15.57","18.67","13.5","6.8","4","8.49","46.19","28.21",,
"19","CAUCA","19807","TIMBÍO","40.92",,,,,"3",,,,,,,,,,,,,,,,"1.35","18.39","10.05"
"19","CAUCA","19809","TIMBIQUÍ","188.68","185","253","260.31","579","453","960","1050","1698","1581","1494","507","572","572","907.47","1405.67","1633.45","1696.92","1464.04","1,263.01","3376.08","2896.79","3071.77","3042.44"
"19","CAUCA","19821","TORIBÍO",,,,,,,,,,,,,,,"9.47","14.85",,,"9.97","1.49","2.41","1.03",,
"20","CESAR","20178","CHIRIGUANÁ",,,,,,,,,,,,,,,,,"2.43",,,,,,,
"20","CESAR","20310","GONZÁLEZ",,,,,,,,,,,,"5","4","2","16.22","6.58","7.78","7.1","23.55","28.51","9.29","7.68",,
"20","CESAR","20517","PAILITAS",,,,,,,,"5",,,,,,,,,,,,,,,,
"20","CESAR","20710","SAN ALBERTO",,,,,,,,,,,,"4","6","5","15.47","17.25","10.72","13.79","6.28","1.97",,,,
"20","CESAR","20770","SAN MARTÍN",,,,,,,,,,,,"3","3","3","1.58","2.57","3.42","10.21","8.33","1.74","1.32",,,
