Periodo,Grupo,Categoria,Actividad,Sexo,hh:mm,L.i.,L.s.,cve %
2024-09_2025-08,Regiones,Central,Vida religiosa,Hombre,0:46,0:44,0:49,2.6
2024-09_2025-08,Regiones,Central,Vida religiosa,Mujer,0:50,0:49,0:52,1.9
2024-09_2025-08,Regiones,Central,Actividades conexas a las actividades personales,Total,1:06,1:02,1:11,3.4000000000000004
2024-09_2025-08,Regiones,Central,Actividades conexas a las actividades personales,Hombre,1:01,0:56,1:06,4.3
2024-09_2025-08,Regiones,Central,Actividades conexas a las actividades personales,Mujer,1:11,1:05,1:17,4.2
2024-09_2025-08,Regiones,Oriental,Actividades personales,Total,17:19,17:05,17:34,
2024-09_2025-08,Regiones,Oriental,Actividades personales,Hombre,17:24,17:10,17:39,
2024-09_2025-08,Regiones,Oriental,Actividades personales,Mujer,17:14,16:56,17:33,
2024-09_2025-08,Regiones,Oriental,Educación y formación,Total,6:33,6:13,6:53,
2024-09_2025-08,Regiones,Oriental,Educación y formación,Hombre,6:28,6:08,6:48,
2024-09_2025-08,Regiones,Oriental,Educación y formación,Mujer,6:38,6:06,7:10,
2024-09_2025-08,Regiones,Oriental,Vida social,Total,2:27,2:18,2:35,2.9000000000000004
2024-09_2025-08,Regiones,Oriental,Vida social,Hombre,2:27,2:18,2:36,3.1
2024-09_2025-08,Regiones,Oriental,Vida social,Mujer,2:26,2:17,2:35,3.1
2024-09_2025-08,Regiones,Oriental,"Vida cultural, aficiones o deporte",Total,1:27,1:22,1:33,3.2
2024-09_2025-08,Regiones,Oriental,"Vida cultural, aficiones o deporte",Hombre,1:36,1:30,1:42,3.2
2024-09_2025-08,Regiones,Oriental,"Vida cultural, aficiones o deporte",Mujer,1:17,1:11,1:24,4.2
2024-09_2025-08,Regiones,Oriental,Uso de medios de comunicación,Total,3:59,3:52,4:06,1.5
2024-09_2025-08,Regiones,Oriental,Uso de medios de comunicación,Hombre,4:06,3:57,4:14,1.7999999999999998
2024-09_2025-08,Regiones,Oriental,Uso de medios de comunicación,Mujer,3:52,3:44,3:59,1.7000000000000002
2024-09_2025-08,Regiones,Oriental,Actividades de cuidado personal,Total,9:57,9:53,10:01,0.3
2024-09_2025-08,Regiones,Oriental,Actividades de cuidado personal,Hombre,9:52,9:47,9:57,0.4
2024-09_2025-08,Regiones,Oriental,Actividades de cuidado personal,Mujer,10:03,9:58,10:08,0.4
2024-09_2025-08,Regiones,Oriental,Vida religiosa,Total,0:45,0:41,0:48,4.5
2024-09_2025-08,Regiones,Oriental,Vida religiosa,Hombre,0:42,0:37,0:48,6.4
2024-09_2025-08,Regiones,Oriental,Vida religiosa,Mujer,0:46,0:42,0:50,4.0
2024-09_2025-08,Regiones,Oriental,Actividades conexas a las actividades personales,Total,1:22,1:14,1:31,5.3
2024-09_2025-08,Regiones,Oriental,Actividades conexas a las actividades personales,Hombre,1:17,1:10,1:25,4.7
2024-09_2025-08,Regiones,Oriental,Actividades conexas a las actividades personales,Mujer,1:27,1:12,1:41,8.6
2024-09_2025-08,Regiones,Pacífica,Actividades personales,Total,18:11,17:59,18:22,
2024-09_2025-08,Regiones,Pacífica,Actividades personales,Hombre,18:27,18:13,18:42,
2024-09_2025-08,Regiones,Pacífica,Actividades personales,Mujer,17:56,17:44,18:07,
2024-09_2025-08,Regiones,Pacífica,Educación y formación,Total,6:29,6:17,6:40,
2024-09_2025-08,Regiones,Pacífica,Educación y formación,Hombre,6:19,6:04,6:35,
2024-09_2025-08,Regiones,Pacífica,Educación y formación,Mujer,6:37,6:23,6:50,
2024-09_2025-08,Regiones,Pacífica,Vida social,Total,2:00,1:56,2:04,1.7000000000000002
2024-09_2025-08,Regiones,Pacífica,Vida social,Hombre,2:04,2:00,2:09,1.7000000000000002
2024-09_2025-08,Regiones,Pacífica,Vida social,Mujer,1:55,1:50,2:01,2.3
2024-09_2025-08,Regiones,Pacífica,"Vida cultural, aficiones o deporte",Total,1:54,1:50,1:59,2.0
2024-09_2025-08,Regiones,Pacífica,"Vida cultural, aficiones o deporte",Hombre,2:07,2:01,2:13,2.4
2024-09_2025-08,Regiones,Pacífica,"Vida cultural, aficiones o deporte",Mujer,1:40,1:35,1:46,2.8000000000000003
2024-09_2025-08,Regiones,Pacífica,Uso de medios de comunicación,Total,4:05,3:59,4:10,1.0999999999999999
2024-09_2025-08,Regiones,Pacífica,Uso de medios de comunicación,Hombre,4:16,4:09,4:24,1.5
2024-09_2025-08,Regiones,Pacífica,Uso de medios de comunicación,Mujer,3:55,3:49,4:00,1.2
2024-09_2025-08,Regiones,Pacífica,Actividades de cuidado personal,Total,11:02,10:56,11:08,0.5
2024-09_2025-08,Regiones,Pacífica,Actividades de cuidado personal,Hombre,11:00,10:51,11:09,0.7000000000000001
