Fecha,Departamento,Total_hogares,Suficiencia_ingreso,Hogares,Porcentaje
2020,Caldas,367,No alcanzan para cubrir los gastos mínimos,115,31.4179851
2020,Caldas,367,Alcanzan para cubrir los gastos mínimos,218,59.5995749
2020,Caldas,367,Cubren más que los gastos mínimos,33,8.98243998
2020,Caquetá,131,No alcanzan para cubrir los gastos mínimos,68,51.9701221
2020,Caquetá,131,Alcanzan para cubrir los gastos mínimos,61,46.2188071
2020,Caquetá,131,Cubren más que los gastos mínimos,2,1.81107074
2020,Casanare,148,No alcanzan para cubrir los gastos mínimos,71,48.2447023
2020,Casanare,148,Alcanzan para cubrir los gastos mínimos,71,47.7566145
2020,Casanare,148,Cubren más que los gastos mínimos,6,3.99868311
2020,Cauca,480,No alcanzan para cubrir los gastos mínimos,243,50.6934357
2020,Cauca,480,Alcanzan para cubrir los gastos mínimos,225,46.9260687
2020,Cauca,480,Cubren más que los gastos mínimos,11,2.38049557
2020,Cesar,376,No alcanzan para cubrir los gastos mínimos,213,56.8202114
2020,Cesar,376,Alcanzan para cubrir los gastos mínimos,155,41.1375762
2020,Cesar,376,Cubren más que los gastos mínimos,8,2.04221237
2020,Córdoba,532,No alcanzan para cubrir los gastos mínimos,285,53.4575861
2020,Córdoba,532,Alcanzan para cubrir los gastos mínimos,214,40.1412278
2020,Córdoba,532,Cubren más que los gastos mínimos,34,6.40118611
2020,Cundinamarca,1100,No alcanzan para cubrir los gastos mínimos,359,32.6212201
2020,Cundinamarca,1100,Alcanzan para cubrir los gastos mínimos,675,61.4065241
2020,Cundinamarca,1100,Cubren más que los gastos mínimos,66,5.9722558
2020,Chocó,182,No alcanzan para cubrir los gastos mínimos,110,60.2517294
2020,Chocó,182,Alcanzan para cubrir los gastos mínimos,71,38.9837035
2020,Chocó,182,Cubren más que los gastos mínimos,1,0.764567014
2020,Guainía,16,No alcanzan para cubrir los gastos mínimos,9,55.6039208
2020,Guainía,16,Alcanzan para cubrir los gastos mínimos,6,41.5314288
2020,Guainía,16,Cubren más que los gastos mínimos,0,2.86465043
2020,Guaviare,30,No alcanzan para cubrir los gastos mínimos,14,47.0869624
2020,Guaviare,30,Alcanzan para cubrir los gastos mínimos,15,49.4357933
2020,Guaviare,30,Cubren más que los gastos mínimos,1,3.4772443
2020,Huila,351,No alcanzan para cubrir los gastos mínimos,141,40.2176572
2020,Huila,351,Alcanzan para cubrir los gastos mínimos,195,55.5462766
2020,Huila,351,Cubren más que los gastos mínimos,15,4.23606613
2020,La Guajira,296,No alcanzan para cubrir los gastos mínimos,211,71.3267729
2020,La Guajira,296,Alcanzan para cubrir los gastos mínimos,80,26.9289142
2020,La Guajira,296,Cubren más que los gastos mínimos,5,1.74431294
2020,Magdalena,404,No alcanzan para cubrir los gastos mínimos,259,64.2025481
2020,Magdalena,404,Alcanzan para cubrir los gastos mínimos,128,31.6050766
2020,Magdalena,404,Cubren más que los gastos mínimos,17,4.19237525
2020,Meta,364,No alcanzan para cubrir los gastos mínimos,112,30.790729
2020,Meta,364,Alcanzan para cubrir los gastos mínimos,229,62.848499
2020,Meta,364,Cubren más que los gastos mínimos,23,6.36077203
2020,Nariño,534,No alcanzan para cubrir los gastos mínimos,285,53.4213131
2020,Nariño,534,Alcanzan para cubrir los gastos mínimos,231,43.2960214
2020,Nariño,534,Cubren más que los gastos mínimos,18,3.2826655
2020,Norte de Santander,508,No alcanzan para cubrir los gastos mínimos,195,38.4560464
2020,Norte de Santander,508,Alcanzan para cubrir los gastos mínimos,287,56.510274
2020,Norte de Santander,508,Cubren más que los gastos mínimos,26,5.03367957
2020,Putumayo,125,No alcanzan para cubrir los gastos mínimos,53,42.2593624
2020,Putumayo,125,Alcanzan para cubrir los gastos mínimos,69,55.7413241
2020,Putumayo,125,Cubren más que los gastos mínimos,2,1.99931353
2020,Quindío,210,No alcanzan para cubrir los gastos mínimos,66,31.3833735
2020,Quindío,210,Alcanzan para cubrir los gastos mínimos,121,57.5382164
2020,Quindío,210,Cubren más que los gastos mínimos,23,11.0784101
2020,Risaralda,349,No alcanzan para cubrir los gastos mínimos,126,36.1805601
2020,Risaralda,349,Alcanzan para cubrir los gastos mínimos,187,53.7092601
2020,Risaralda,349,Cubren más que los gastos mínimos,35,10.1101799
2020,San Andrés,16,No alcanzan para cubrir los gastos mínimos,7,40.9550772
2020,San Andrés,16,Alcanzan para cubrir los gastos mínimos,8,52.3888579
2020,San Andrés,16,Cubren más que los gastos mínimos,1,6.65606486
2020,Santander,755,No alcanzan para cubrir los gastos mínimos,273,36.1600644
2020,Santander,755,Alcanzan para cubrir los gastos mínimos,424,56.0991339
2020,Santander,755,Cubren más que los gastos mínimos,58,7.74080174
2020,Sucre,274,No alcanzan para cubrir los gastos mínimos,177,64.6988545
2020,Sucre,274,Alcanzan para cubrir los gastos mínimos,92,33.496684
2020,Sucre,274,Cubren más que los gastos mínimos,5,1.80446148
2020,Tolima,467,No alcanzan para cubrir los gastos mínimos,219,46.8208502
2020,Tolima,467,Alcanzan para cubrir los gastos mínimos,233,49.9228855
2020,Tolima,467,Cubren más que los gastos mínimos,15,3.25626431
2020,Valle,1551,No alcanzan para cubrir los gastos mínimos,533,34.3806057
2020,Valle,1551,Alcanzan para cubrir los gastos mínimos,897,57.8476953
2020,Valle,1551,Cubren más que los gastos mínimos,121,7.77169903
2020,Vaupés,11,No alcanzan para cubrir los gastos mínimos,8,70.4470319
2020,Vaupés,11,Alcanzan para cubrir los gastos mínimos,3,28.3962635
2020,Vaupés,11,Cubren más que los gastos mínimos,0,1.1567046
2020,Vichada,37,No alcanzan para cubrir los gastos mínimos,23,63.1865501
2020,Vichada,37,Alcanzan para cubrir los gastos mínimos,13,34.8378355
2020,Vichada,37,Cubren más que los gastos mínimos,1,1.97561432
2021,Total nacional,17068,No alcanzan para cubrir los gastos mínimos,7115,41.688415
2021,Total nacional,17068,Alcanzan para cubrir los gastos mínimos,8596,50.3627432
2021,Total nacional,17068,Cubren más que los gastos mínimos,1357,7.94884187
2021,Cabecera,13160,No alcanzan para cubrir los gastos mínimos,4823,36.6485692
2021,Cabecera,13160,Alcanzan para cubrir los gastos mínimos,7050,53.5721889
2021,Cabecera,13160,Cubren más que los gastos mínimos,1287,9.77924188
2021,Centros poblados y rural disperso,3908,No alcanzan para cubrir los gastos mínimos,2292,58.6600284
2021,Centros poblados y rural disperso,3908,Alcanzan para cubrir los gastos mínimos,1546,39.5549774
2021,Centros poblados y rural disperso,3908,Cubren más que los gastos mínimos,70,1.78499426
2021,Amazonas,21,No alcanzan para cubrir los gastos mínimos,9,41.0440173
2021,Amazonas,21,Alcanzan para cubrir los gastos mínimos,12,55.2019098
2021,Amazonas,21,Cubren más que los gastos mínimos,1,3.75407289
2021,Antioquia,2328,No alcanzan para cubrir los gastos mínimos,753,32.3503744
2021,Antioquia,2328,Alcanzan para cubrir los gastos mínimos,1365,58.6369866
2021,Antioquia,2328,Cubren más que los gastos mínimos,210,9.01263906
2021,Arauca,109,No alcanzan para cubrir los gastos mínimos,43,39.8529299
2021,Arauca,109,Alcanzan para cubrir los gastos mínimos,62,56.9137276
2021,Arauca,109,Cubren más que los gastos mínimos,4,3.23334241
2021,Atlántico,754,No alcanzan para cubrir los gastos mínimos,357,47.3436578
2021,Atlántico,754,Alcanzan para cubrir los gastos mínimos,325,43.0417341
2021,Atlántico,754,Cubren más que los gastos mínimos,73,9.6146081
2021,Bogotá D.C.,2865,No alcanzan para cubrir los gastos mínimos,778,27.1439127
2021,Bogotá D.C.,2865,Alcanzan para cubrir los gastos mínimos,1636,57.1076939
2021,Bogotá D.C.,2865,Cubren más que los gastos mínimos,451,15.7483934
2021,Bolívar,656,No alcanzan para cubrir los gastos mínimos,393,59.923839
2021,Bolívar,656,Alcanzan para cubrir los gastos mínimos,234,35.7415822
2021,Bolívar,656,Cubren más que los gastos mínimos,28,4.33457875
2021,Boyacá,433,No alcanzan para cubrir los gastos mínimos,183,42.3499554
2021,Boyacá,433,Alcanzan para cubrir los gastos mínimos,231,53.3917106
2021,Boyacá,433,Cubren más que los gastos mínimos,18,4.25833408
2021,Caldas,355,No alcanzan para cubrir los gastos mínimos,116,32.7038623
2021,Caldas,355,Alcanzan para cubrir los gastos mínimos,198,55.6449595
2021,Caldas,355,Cubren más que los gastos mínimos,41,11.6511782
2021,Caquetá,139,No alcanzan para cubrir los gastos mínimos,63,45.2448039
2021,Caquetá,139,Alcanzan para cubrir los gastos mínimos,73,52.2345446
2021,Caquetá,139,Cubren más que los gastos mínimos,4,2.52065144
2021,Casanare,154,No alcanzan para cubrir los gastos mínimos,78,50.4402856
2021,Casanare,154,Alcanzan para cubrir los gastos mínimos,69,44.9320212
2021,Casanare,154,Cubren más que los gastos mínimos,7,4.6276932
2021,Cauca,559,No alcanzan para cubrir los gastos mínimos,325,58.1310568
2021,Cauca,559,Alcanzan para cubrir los gastos mínimos,220,39.2872634
2021,Cauca,559,Cubren más que los gastos mínimos,14,2.58167982
2021,Cesar,400,No alcanzan para cubrir los gastos mínimos,221,55.4049144
2021,Cesar,400,Alcanzan para cubrir los gastos mínimos,170,42.4642551
