"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
2006,"Women","Colombia","COL",0.031158460776371445,0.02621688281613976,0.036665422471286915,0.19386817806258988,0.1806158584604649,0.20717345789900798,0.04989348635800416,0.04476424962541918,0.05535992673875367,0.36879170638658,0.3539059976419407,0.3843692483840868,0.35628816641645455,0.34089388001499654,0.3714228119467149,0.1445581197596232,0.13238295640459846,0.156857762710164,0.03771833986209909,0.03222072121547731,0.04365115714806527,0.011591718440867614,0.008968264125508864,0.014566294475051927
2007,"Women","Colombia","COL",0.030695023122676426,0.025836789950226827,0.036051143207746626,0.19982134215879108,0.18665668520784684,0.21296169888767497,0.04895527941868613,0.04399621490431794,0.05418308754513144,0.3642173903375579,0.349673714668092,0.3794527817149554,0.3563109629622884,0.3413739310271925,0.3715586787129672,0.1477430707597292,0.1357659046411975,0.15998928528800146,0.03962776794660618,0.03405107620306384,0.04562958111924046,0.012450503452455717,0.009737432598131148,0.01549113251076178
2008,"Women","Colombia","COL",0.03021394474851844,0.025515015000522636,0.035276634656177246,0.2060769767175631,0.1930688015170844,0.21934729794118846,0.04802686558478105,0.04321919553107145,0.053158330520269005,0.3593712859553248,0.3448191945611483,0.3744818224071203,0.3563109249938126,0.3412746502145984,0.3712275597396582,0.15110248707971963,0.13909227630010804,0.16337214567158173,0.04157856629771865,0.035953354920013406,0.047826954638517674,0.013395923340124799,0.010538260180134438,0.016604067611248448
2009,"Women","Colombia","COL",0.029707558981383796,0.025117027962351168,0.03467739742100088,0.21261173873624847,0.19965337071252423,0.2258740269458988,0.047121461562885936,0.04234839640069492,0.052197038474557686,0.3542829682795386,0.33961141825793967,0.36916354559758413,0.35627627043994325,0.34126060307886263,0.3710771938859034,0.15460568816446169,0.14252999077446896,0.1670079505252752,0.04357206641430339,0.03775580987080427,0.04998146695884768,0.014433984157483426,0.011383401527342709,0.017812293887963213
2010,"Women","Colombia","COL",0.029189819071294018,0.024634834895556384,0.034226588888551804,0.21943719072749804,0.2060089091975238,0.23295721637568062,0.04624260421815283,0.04152698944240986,0.05122681050597526,0.3489192180649525,0.33430638154030407,0.36381248378875697,0.3562111659181026,0.34109576875659964,0.3717544965433233,0.15826643959863543,0.14600486429777423,0.17108930137172082,0.045599131919239595,0.03957015496900116,0.052313529255679114,0.015571619209623038,0.012343428194218036,0.01927905210361085
2011,"Women","Colombia","COL",0.028665753876062978,0.02405566450211639,0.03371705819256217,0.226522653207101,0.21289975011675716,0.24026664314043217,0.04540144307264791,0.04071285462815236,0.05043479369675443,0.3432789319622093,0.3282254274498522,0.3583142776082934,0.35613121588197877,0.34077429008498966,0.3720069823033267,0.16204879901527022,0.1494923816616505,0.17473622154519652,0.047662395342345495,0.041408166393773815,0.05459985491907665,0.016811458849485282,0.013365840536426789,0.02081251002977076
2012,"Women","Colombia","COL",0.028136133231015745,0.023497079517631025,0.03328940735516566,0.23377305500211912,0.21962556582781315,0.248088041311087,0.04460775226199791,0.039881644125553936,0.04978897552542941,0.33743260896207855,0.3216728842477943,0.35268906817440693,0.3560504485427886,0.34034348273124443,0.3722207771689506,0.1658725890279549,0.15275651881031233,0.1792706625930982,0.04975187524037748,0.043157585593319926,0.05698451815373887,0.018148590733786732,0.014385242357101292,0.022455556387719046
2013,"Women","Colombia","COL",0.02760935907956294,0.022898809031757353,0.03281334200014928,0.24107916906024188,0.22634670585648886,0.25583908679631306,0.04388013500762134,0.03900102016094171,0.04928849263661981,0.33148054003212357,0.31510509918936414,0.34711891822092833,0.3559507948204504,0.33959803970958197,0.3726450980341628,0.1696594183994726,0.15627517317297604,0.18371320366955363,0.05183980370726201,0.04474709471996064,0.05938193288247403,0.019579946953507232,0.015482215682926131,0.024196963474091594
2014,"Women","Colombia","COL",0.02709462571363877,0.02223455470028685,0.03246143055880234,0.248381439915365,0.23287388834134276,0.2644565907914228,0.043231436314450866,0.03808333708495985,0.048898186174636926,0.32553639990145683,0.3084981361964393,0.3422214068642566,0.3557560961550886,0.3387838295467692,0.3729870486062492,0.17336326793927564,0.1591799154420709,0.18823906296511267,0.0539251466035937,0.04622757990652169,0.062025863240283634,0.021093025372495636,0.01651058296546328,0.02603835941738918
2015,"Women","Colombia","COL",0.026598863920690916,0.021503277027521327,0.03221906971799441,0.2556263426919164,0.23866656345493018,0.2729115840526912,0.0426777901948771,0.037243686331908166,0.048761994947850364,0.3196892555494666,0.301643510951341,0.33770747368746096,0.35540774564304894,0.33746204415764486,0.3740271028009802,0.17695464849863846,0.16165446753218438,0.19292899419589238,0.05599366846652165,0.047639071046948214,0.06484294646462087,0.022678025726756333,0.017645947956216178,0.028193942578654235
2016,"Women","Colombia","COL",0.026119453333049315,0.020754584698162402,0.032039900859004176,0.2627346290502497,0.24432463093807333,0.281850787306318,0.0422288183765487,0.03632748096780314,0.048850361753364976,0.31407143186422015,0.29437577954989697,0.33379077723029643,0.35484566537593215,0.3350481553605657,0.3748320792328762,0.1803786844420479,0.16373785742487657,0.19788467301398782,0.05803557532480501,0.04884465809167999,0.0678177098894255,0.02432036928339674,0.018632164786513562,0.03053325042816474
2017,"Women","Colombia","COL",0.025656473622186027,0.019954198774139464,0.032144160325732814,0.26967866657162026,0.2494191903347547,0.29075535731742796,0.04186910262264678,0.0353944266884785,0.04906545853269437,0.30872110967629085,0.28742656344000594,0.3305079671052329,0.3540746455072561,0.33202146715968395,0.37635147934183005,0.1835963526967391,0.16502122172864608,0.20303104791508264,0.06005205725164009,0.04973528883730753,0.07097703681374534,0.02603025662324111,0.019601554467816015,0.03327244532672242
