"FECHA","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","GRUPO"
"2022 Aug 02 12:00:00 AM","19","CAUCA","19050","ARGELIA","GAOR"
"2022 Aug 04 12:00:00 AM","05","ANTIOQUIA","05250","EL BAGRE","CLAN DEL GOLFO"
"2022 Aug 04 12:00:00 AM","05","ANTIOQUIA","05250","EL BAGRE","CLAN DEL GOLFO"
"2022 Aug 08 12:00:00 AM","19","CAUCA","19001","POPAYAN","GAOR"
"2022 Aug 08 12:00:00 AM","85","CASANARE","85001","YOPAL","GAOR"
"2022 Aug 08 12:00:00 AM","68","SANTANDER","68575","PUERTO WILCHES","CLAN DEL GOLFO"
"2022 Aug 09 12:00:00 AM","81","ARAUCA","81736","SARAVENA","GAOR"
"2022 Aug 09 12:00:00 AM","54","NORTE DE SANTANDER","54001","CUCUTA","CLAN DEL GOLFO"
"2022 Aug 11 12:00:00 AM","54","NORTE DE SANTANDER","54001","CUCUTA","GAOR"
"2022 Aug 17 12:00:00 AM","18","CAQUETA","18001","FLORENCIA","GAOR"
"2022 Aug 17 12:00:00 AM","52","NARIÑO","52356","IPIALES","GAOR"
"2022 Aug 26 12:00:00 AM","19","CAUCA","19001","POPAYAN","GAOR"
"2022 Aug 26 12:00:00 AM","19","CAUCA","19001","POPAYAN","GAOR"
"2022 Aug 26 12:00:00 AM","27","CHOCO","27077","BAJO BAUDO","CLAN DEL GOLFO"
"2022 Aug 26 12:00:00 AM","47","MAGDALENA","47245","EL BANCO","CLAN DEL GOLFO"
"2022 Aug 26 12:00:00 AM","50","META","50001","VILLAVICENCIO","CLAN DEL GOLFO"
"2022 Aug 26 12:00:00 AM","13","BOLIVAR","13688","SANTA ROSA DEL SUR","CLAN DEL GOLFO"
"2022 Aug 29 12:00:00 AM","52","NARIÑO","52612","RICAURTE","GAOR"
"2022 Aug 29 12:00:00 AM","27","CHOCO","27099","BOJAYA","CLAN DEL GOLFO"
"2022 Aug 29 12:00:00 AM","27","CHOCO","27001","QUIBDO","CLAN DEL GOLFO"
"2022 Aug 29 12:00:00 AM","27","CHOCO","27001","QUIBDO","CLAN DEL GOLFO"
"2022 Aug 29 12:00:00 AM","27","CHOCO","27001","QUIBDO","CLAN DEL GOLFO"
"2022 Aug 30 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","GAOR"
"2022 Aug 30 12:00:00 AM","68","SANTANDER","68575","PUERTO WILCHES","CLAN DEL GOLFO"
