"iso","alert__year","alert__week","alert__count","confidence__cat"
"COL",2020,19,6,"h"
"COL",2023,41,23,"h"
"COL",2026,35,23,"h"
"COL",2012,37,70,"h"
"COL",2024,31,21,"h"
"COL",2019,16,4,"h"
"COL",2012,9,419,"h"
"COL",2014,15,156,"h"
"COL",2016,48,1,"h"
"COL",2017,24,6,"h"
"COL",2017,23,9,"h"
"COL",2022,21,5,"h"
"COL",2024,25,3,"h"
"COL",2022,25,1,"h"
"COL",2013,34,20,"h"
"COL",2012,4,134,"h"
"COL",2020,29,21,"h"
"COL",2024,17,5,"h"
"COL",2024,28,1,"h"
"COL",2023,23,6,"h"
"COL",2014,38,27,"h"
"COL",2013,27,43,"h"
"COL",2017,25,1,"h"
"COL",2020,30,1,"h"
"COL",2013,39,27,"h"
"COL",2023,36,25,"h"
"COL",2014,45,4,"h"
"COL",2022,35,5,"h"
"COL",2020,17,97,"h"
"COL",2017,35,15,"h"
"COL",2015,13,352,"h"
"COL",2022,22,3,"h"
"COL",2019,18,32,"h"
"COL",2024,27,2,"h"
"COL",2019,26,9,"h"
"COL",2025,19,12,"h"
"COL",2018,10,442,"h"
"COL",2022,20,1,"h"
"COL",2017,30,33,"h"
"COL",2020,42,28,"h"
"COL",2023,30,53,"h"
"COL",2015,29,17,"h"
"COL",2018,4,80,"h"
"COL",2024,11,141,"h"
"COL",2026,15,26,"h"
"COL",2019,12,196,"h"
"COL",2024,43,32,"h"
"COL",2015,14,76,"h"
"COL",2014,13,290,"h"
"COL",2016,34,71,"h"
"COL",2014,39,42,"h"
"COL",2019,39,29,"h"
"COL",2015,19,37,"h"
"COL",2020,43,14,"h"
"COL",2026,4,70,"h"
"COL",2019,41,8,"h"
"COL",2017,39,18,"h"
"COL",2018,45,5,"h"
"COL",2019,20,8,"h"
"COL",2020,14,160,"h"
"COL",2017,50,71,"h"
"COL",2020,12,1268,"h"
"COL",2025,4,197,"h"
"COL",2018,23,2,"h"
"COL",2021,33,18,"h"
"COL",2015,36,46,"h"
"COL",2025,47,10,"h"
"COL",2016,17,24,"h"
"COL",2012,48,31,"h"
"COL",2023,9,210,"h"
"COL",2016,25,6,"h"
"COL",2016,46,44,"h"
"COL",2025,44,4,"h"
"COL",2019,13,144,"h"
"COL",2022,4,495,"h"
"COL",2022,28,21,"h"
"COL",2015,17,24,"h"
"COL",2024,2,96,"h"
"COL",2018,31,26,"h"
"COL",2013,18,13,"h"
"COL",2018,35,34,"h"
"COL",2014,51,52,"h"
"COL",2017,3,136,"h"
"COL",2012,8,506,"h"
