Ambito,Codigo,Tipo,Concepto,Partido,Votos,Porcentaje
CAQUETA,18,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,8226,4.8
CAQUETA,18,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,4048,2.36
CAQUETA,18,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,3346,1.95
CAQUETA,18,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,879,0.51
CAQUETA,18,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,440,0.25
CAQUETA,18,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,375,0.21
CAQUETA,18,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",252,0.14
CAQUETA,18,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,182,0.1
CAQUETA,18,Candidato,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,148,0.08
CAQUETA,18,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,135,0.07
CAQUETA,18,Candidato,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,69,0.04
CAQUETA,18,Escrutinio,Votos en blanco,,4945,2.88
CAQUETA,18,Escrutinio,Votos nulos,,2707,1.54
CAQUETA,18,Escrutinio,No marcados,,990,0.56
CAQUETA,18,Escrutinio,Abstención,,152425,46.55
CASANARE,85,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,134114,61.25
CASANARE,85,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,54202,24.75
CASANARE,85,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,14702,6.71
CASANARE,85,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,6028,2.75
CASANARE,85,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,3642,1.66
CASANARE,85,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,1076,0.49
CASANARE,85,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,333,0.15
CASANARE,85,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,288,0.13
CASANARE,85,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",205,0.09
CASANARE,85,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,196,0.08
CASANARE,85,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,97,0.04
CASANARE,85,Candidato,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,87,0.03
CASANARE,85,Candidato,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,67,0.03
