Reference area,Sex,Age,Educational attainment level,Education status,Labour force status,TIME_PERIOD,OBS_VALUE
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Employment,2021,48.79068
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Employment,2022,53.578281
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Employment,2023,53.233593
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Employment,2024,55.667594909668
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Employment,2025,54.2549447143853
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2007,16.731388
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2008,20.759344
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2009,19.77346
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2010,18.707085
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2011,18.539017
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2012,16.674183
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2013,15.821477
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2014,15.495956
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2015,15.665704
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2016,16.625252
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2017,16.698711
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2018,17.384823
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2019,19.295378
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2020,23.00111
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2021,21.551338
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2022,17.88434
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2023,15.891064
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2024,17.9981136322022
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2025,17.4881847059735
